TIPO_ARCHIVO|ARCHIVO|SENTENCIA_DML|ESQUEMA_OUTPUT|TABLA_OUTPUT|ESQUEMA_INPUT|TABLA_INPUT
Vistas|SQLAExport1559.txt|REPLACE VIEW|ARMVIEWS|RMS_AC_TCR_VAR_CAMP|ARMVIEWS|RMU_CLT_NOMBRES_A
Vistas|SQLAExport1559.txt|REPLACE VIEW|ARMVIEWS|RMS_AC_TCR_VAR_CAMP|ARMVIEWS|RME_RIESGO1_A
Vistas|SQLAExport1559.txt|REPLACE VIEW|ARMVIEWS|RMS_AC_TCR_VAR_CAMP|ARMVIEWS|RMA_DM_TCR_CTA_A
Vistas|SQLAExport1559.txt|REPLACE VIEW|ARMVIEWS|RMS_AC_TCR_VAR_CAMP|ARMVIEWS|RMA_OFTA_ATC_RIESGO2_A
Vistas|SQLAExport1559.txt|REPLACE VIEW|ARMVIEWS|RMS_AC_TCR_VAR_CAMP|ARMVIEWS|RMA_TABLON_ATC_OFTA_NAC_A
Vistas|SQLAExport1559.txt|REPLACE VIEW|ARMVIEWS|RMS_AC_TCR_VAR_CAMP|ARMVIEWS|RMA_DMC_CORREO_A
Vistas|SQLAExport1559.txt|REPLACE VIEW|ARMVIEWS|RMS_AC_TCR_VAR_CAMP|ARMVIEWS|RMA_PARTY_A
Vistas|SQLAExport1559.txt|REPLACE VIEW|ARMVIEWS|RMS_AC_TCR_VAR_CAMP|ARMINP|RME_ACT_CUPO_POT
Vistas|SQLAExport156.txt|CREATE VIEW|ARMVIEWS|PRUEBA_SEG_INV|ARMVIEWS|PRUEBA_MONTOS
Vistas|SQLAExport156.txt|CREATE VIEW|ARMVIEWS|PRUEBA_SEG_INV|ARMOUT|RMC_PRE_CALIF_CRM_DIGITAL
Vistas|SQLAExport1560.txt|REPLACE VIEW|ARMVIEWS|RMA_CRM_PRIO_RUT_PROD_D|ARMVIEWS|RMU_CRM_PRIO_RUT_PROD_D
Vistas|SQLAExport1561.txt|REPLACE VIEW|ARMVIEWS|D_RMA_CLT_NBA_CEL_INT_TELE_A|ARMOUT|D_RMC_PRE_CALIF_CRM
Vistas|SQLAExport1562.txt|REPLACE VIEW|ARMVIEWS|RMU_TCR_CUOTIZA_INT_INPUT_A|ARMVIEWS|RMA_EVT_CRM_NOPRI_D
Vistas|SQLAExport1563.txt|REPLACE VIEW|ARMVIEWS|RMU_EJEC_DOTACION_LEA_FACT_PYME_M|MKT_JOURNEY_TB|CRM_PYME_DOTACION
Vistas|SQLAExport1564.txt|REPLACE VIEW|ARMVIEWS|FunnelPLN_Fuentes_Eventos|MKT_EXPLORER_TB|FunnelPLN_Fuentes_Eventos
Vistas|SQLAExport1565.txt|REPLACE VIEW|ARMVIEWS|RMU_TCR_CUOTIZA_NAC_INPUT_A|ARMVIEWS|RMA_EVT_CRM_NOPRI_D
Vistas|SQLAExport1566.txt|REPLACE VIEW|ARMVIEWS|RMU_TABLON_CAMPANA_M|ARMINP|RME_TABLON_CAMPANA_M
Vistas|SQLAExport1566.txt|REPLACE VIEW|ARMVIEWS|RMU_TABLON_CAMPANA_M|ARMVIEWS|RMU_ULTIMO_DIA_HABIL_A
Vistas|SQLAExport1567.txt|REPLACE VIEW|ARMVIEWS|RMU_SUC_SOLICITUD_A|ARMINP|SUC_SOLICITUD
Vistas|SQLAExport1568.txt|REPLACE VIEW|ARMVIEWS|RMU_CAP_LEA_FAC_A|ARMINP|RME_CAP_LEA_FAC
Vistas|SQLAExport1569.txt|CREATE VIEW|ARMVIEWS|RMU_PREPASO_SALIDAS_COMEX_A|ARMOUT|RMC_PREPASO_SALIDAS_COMEX
Vistas|SQLAExport157.txt|REPLACE VIEW|ARMVIEWS|RMR_CLT_PTY_SUC_EJEC_INV_CP_A|ARMVIEWS|RMU_EJECUTIVOS_CTA_CTRL_PLANTA_INV
Vistas|SQLAExport1570.txt|REPLACE VIEW|ARMVIEWS|RCI_Repository|ARMCUST|CRM_PYME_CHECKPOINT
Vistas|SQLAExport1570.txt|REPLACE VIEW|ARMVIEWS|RCI_Repository|ARMOUT|CRM_PYME_REPOSITORIO_OFERTAS
Vistas|SQLAExport1570.txt|REPLACE VIEW|ARMVIEWS|RCI_Repository|ARMOUT|CRM_PYME_ATRAER_CHECKPOINT
Vistas|SQLAExport1570.txt|REPLACE VIEW|ARMVIEWS|RCI_Repository|ARMCUST|TMP_CRM_CTY_CONSOLIDADA
Vistas|SQLAExport1570.txt|REPLACE VIEW|ARMVIEWS|RCI_Repository|ARMOUT|RMC_PRE_CALIF_CRM_DIGITAL
Vistas|SQLAExport1570.txt|REPLACE VIEW|ARMVIEWS|RCI_Repository|ARMCUST|LH_REALIZED_LEAD
Vistas|SQLAExport1570.txt|REPLACE VIEW|ARMVIEWS|RCI_Repository|ARMCUST|LH_RUN_HISTORY
Vistas|SQLAExport1571.txt|REPLACE VIEW|ARMVIEWS|RMA_CRM_CPTY_PLN_MN_A|ARMVIEWS|RMU_CRM_CPTY_PLN_MN_A
Vistas|SQLAExport1572.txt|REPLACE VIEW|ARMVIEWS|RMA_IN_INV_PATRIMONIO_A|EDM_DMINVERS_VW|SALDO_MENSUAL_FFMM
Vistas|SQLAExport1572.txt|REPLACE VIEW|ARMVIEWS|RMA_IN_INV_PATRIMONIO_A|EDM_DMINVERS_VW|SALDO_MENSUAL_DAP
Vistas|SQLAExport1572.txt|REPLACE VIEW|ARMVIEWS|RMA_IN_INV_PATRIMONIO_A|EDM_DMINVERS_VW|SALDO_MENSUAL_CDB
Vistas|SQLAExport1573.txt|REPLACE VIEW|ARMVIEWS|RMS_LKG_EVT_ATC_SUC_A_V2170426|ARMWORK|RMJ_CLT_ACCOUNT
Vistas|SQLAExport1573.txt|REPLACE VIEW|ARMVIEWS|RMS_LKG_EVT_ATC_SUC_A_V2170426|ARMVIEWS|RMA_MAX_FEC_LKG_EVT_A
Vistas|SQLAExport1573.txt|REPLACE VIEW|ARMVIEWS|RMS_LKG_EVT_ATC_SUC_A_V2170426|ARMVIEWS|RMA_CLT_RUT_A
Vistas|SQLAExport1573.txt|REPLACE VIEW|ARMVIEWS|RMS_LKG_EVT_ATC_SUC_A_V2170426|ARMVIEWS|RMA_PARTY_A
Vistas|SQLAExport1573.txt|REPLACE VIEW|ARMVIEWS|RMS_LKG_EVT_ATC_SUC_A_V2170426|ARMVIEWS|RMU_CLT_NOMBRES_A
Vistas|SQLAExport1573.txt|REPLACE VIEW|ARMVIEWS|RMS_LKG_EVT_ATC_SUC_A_V2170426|ARMVIEWS|RMA_BANCO_CLIENTE_A
Vistas|SQLAExport1573.txt|REPLACE VIEW|ARMVIEWS|RMS_LKG_EVT_ATC_SUC_A_V2170426|ARMVIEWS|RMS_PARTY_RENTA_A
Vistas|SQLAExport1573.txt|REPLACE VIEW|ARMVIEWS|RMS_LKG_EVT_ATC_SUC_A_V2170426|ARMVIEWS|RMA_TABLON_ATC_OFTA_INT_A
